Client,Company_Code,Season_Year,Purchasing_Document_Type,Plant,Acres_Range_Low,Acres_Range_High,Foundation_Factor,Foundation_Rate,Currency_Key
300,1710,2019,ZCFD,1710,0.010,1.090,3.00,0.00,
300,1710,2019,ZCFD,1710,1.100,3.090,2.40,0.00,
300,1710,2019,ZCFD,1710,3.100,5.090,2.00,0.00,
300,1710,2019,ZCFD,1710,5.100,10.090,1.50,0.00,
300,1710,2019,ZCFD,1710,10.100,20.000,1.30,0.00,
300,1710,2019,ZCFD,1710,20.010,99.990,1.20,0.00,
300,1710,2019,ZCFI,1710,0.010,1.090,3.20,0.00,
300,1710,2019,ZCFI,1710,1.100,3.690,3.00,0.00,
300,1710,2019,ZCFI,1710,3.700,5.090,2.80,0.00,
300,1710,2019,ZCFI,1710,5.100,10.090,2.60,0.00,
300,1710,2019,ZCFI,1710,10.100,15.091,2.20,0.00,
300,1710,2019,ZCFI,1710,15.100,20.090,1.80,0.00,
300,1710,2019,ZCFI,1710,20.100,999.990,1.40,0.00,
300,1710,2019,ZEPC,1710,0.010,999.990,1.00,0.00,
300,1710,2020,ZCFD,1710,0.010,1.090,3.00,0.00,
300,1710,2020,ZCFD,1710,1.100,3.090,2.40,0.00,
300,1710,2020,ZCFD,1710,10.100,20.000,1.30,0.00,
300,1710,2020,ZCFD,1710,20.010,99.990,1.20,0.00,
300,1710,2020,ZCFD,1710,3.100,5.090,2.00,0.00,
300,1710,2020,ZCFD,1710,5.100,10.090,1.50,0.00,
300,1710,2020,ZCFI,1710,0.010,1.090,3.20,0.00,
300,1710,2020,ZCFI,1710,1.100,3.690,3.00,0.00,
300,1710,2020,ZCFI,1710,10.100,15.091,2.20,0.00,
300,1710,2020,ZCFI,1710,15.100,20.090,1.80,0.00,
300,1710,2020,ZCFI,1710,20.100,999.990,1.40,0.00,
300,1710,2020,ZCFI,1710,3.700,5.090,2.80,0.00,
300,1710,2020,ZCFI,1710,5.100,10.090,2.60,0.00,
300,1710,2020,ZEPC,1710,0.010,999.990,1.00,0.00,
300,1710,2021,ZEPC,1710,0.010,999.990,1.00,0.00,
