Client,Season_Year,Season_ID,Company_Code,Specie,Price_Month,Price_Year,From_Market_Date,To_Market_Date,Requested_Check_Date,Cash_Terms,Basis_Threshold,Country_Key,Auto_price_Indicator,Futures_Month
300,2019,,1710,SB,00,2020,11/1/2019,12/31/2019,11/1/2019,0,0,,,01
300,2019,,1710,SB,00,2020,1/1/2020,2/28/2020,1/1/2020,0,0,,,03
300,2019,,1710,SB,00,2020,3/1/2020,12/29/2020,1/1/2020,0,0,,X,05
300,2019,,1710,SB,00,2020,6/1/2020,7/31/2020,11/1/2019,0,0,,,01
300,2019,,1710,SB,00,2020,6/2/2020,7/31/2020,1/1/2020,0,0,,,03
300,2019,,1710,SB,01,2020,12/15/2018,12/31/2019,1/1/2020,0,0,,,
300,2019,,1710,SB,11,2019,12/15/2018,11/1/2019,11/1/2019,0,0,,,
300,2019,,1710,SC,03,2020,12/14/2018,2/27/2020,1/1/2020,0,0,,X,
300,2019,,1710,SC,03,2021,12/14/2019,2/27/2021,1/1/2021,0,0,,X,
300,2019,,1710,SC,12,2019,12/14/2018,12/12/2019,12/1/2019,0,0,,X,
300,2019,,1710,SC,12,2020,12/14/2019,12/12/2020,12/1/2020,0,0,,X,
300,2019,,1710,SS,03,2020,12/15/2015,2/27/2020,1/1/2020,0,0,,X,
300,2019,,1710,SS,12,2019,12/15/2015,12/13/2019,12/1/2019,0,0,,,
300,2020,,1710,SB,00,2020,6/1/2020,7/31/2021,11/1/2019,0,0,,,01
300,2020,,1710,SB,00,2020,11/1/2020,12/31/2020,11/1/2020,0,0,,,01
300,2020,,1710,SB,00,2021,6/1/2020,7/31/2020,1/1/2021,0,0,,,03
300,2020,,1710,SB,00,2021,1/1/2021,2/28/2021,1/1/2021,0,0,,,03
300,2020,,1710,SB,00,2021,3/1/2021,4/29/2021,1/1/2021,0,0,,X,05
300,2020,,1710,SB,01,2021,12/15/2019,12/31/2020,1/1/2019,0,0,,,
300,2020,,1710,SB,11,2020,12/15/2019,11/1/2020,11/1/2020,0,0,,,
300,2020,,1710,SC,03,2021,12/14/2019,2/27/2021,1/1/2021,0,0,,X,
300,2020,,1710,SC,12,2020,12/14/2019,12/12/2020,12/1/2020,0,0,,,
300,2020,,1710,SS,03,2021,12/15/2016,2/27/2021,1/1/2021,0,0,,X,
300,2020,,1710,SS,12,2020,12/15/2016,12/13/2020,12/1/2020,0,0,,,
300,2021,,1710,SB,00,2022,11/1/2021,12/31/2021,11/1/2021,0,0,,,01
300,2021,,1710,SB,00,2022,1/1/2022,2/28/2022,1/1/2022,0,0,,,03
300,2021,,1710,SB,00,2022,3/1/2022,4/29/2022,1/1/2022,0,0,,X,05
300,2021,,1710,SC,03,2022,12/14/2020,2/27/2022,1/1/2022,0,0,,X,
300,2021,,1710,SC,12,2021,12/14/2020,12/12/2022,12/1/2022,0,0,,,
300,2022,,1710,SB,00,2023,11/1/2022,12/31/2022,11/1/2022,0,0,,,01
300,2022,,1710,SB,00,2023,12/31/2022,2/28/2022,1/1/2023,0,0,,,03
300,2022,,1710,SB,00,2023,3/1/2023,4/27/2023,1/1/2023,0,0,,X,05
300,2022,,1710,SB,01,2023,12/14/2021,12/31/2022,1/1/2023,0,0,,,
300,2022,,1710,SB,11,2022,12/14/2021,10/31/2022,11/1/2022,0,0,,,
300,2022,,1710,SC,03,2023,12/14/2021,2/27/2023,1/1/2023,0,0,,X,
300,2022,,1710,SC,12,2022,12/14/2021,12/12/2022,12/1/2022,0,0,,,
300,2023,,1710,SB,00,2021,3/1/2022,4/29/2022,1/1/2022,0,0,,X,05
