Client,Language_Key,Unit_of_Measurement
300,DE,%
300,DE,%O
300,DE,ONE
300,DE,D
300,DE,22S
300,DE,CMS
300,DE,000
300,DE,µL
300,DE,µF
300,EN,µA
300,EN,BAG
300,EN,BAR
300,EN,BT
300,EN,BQK
300,EN,BTU
300,EN,Bqm
300,EN,RF
300,EN,M/M
300,EN,M/L
300,EN,NA
300,EN,C3S
300,EN,R-U
300,EN,NMM
300,EN,CCK
300,EN,CCM
300,EN,CD
300,EN,CD3
300,EN,CM
300,EN,CM2
300,EN,CMH
300,EN,CV
300,EN,CL
300,EN,S/M
300,EN,TOM
300,EN,VAM
300,EN,dBA
300,EN,dBC
300,EN,DEG
300,EN,DM
300,EN,DR
300,EN,DZ
300,EN,EA
300,EN,EU
300,EN,EML
300,EN,F
300,EN,°F
300,EN,FT
300,EN,FT2
